SGD ID	Type	Qualifier	Feature Name	Standard Gene Name	Alias	Parent Feature Name	Secondary SGDID	Chromosome	Start_coordinate	Stop_coordinate	Strand	Genetic Position	Coordinate Version	Sequence Version	Description
S000007586	ORF	Verified	YAL044W-A	BOL1		chromosome 1		1	57518	57850	W		2/3/2011	1/30/2001	"Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein"
S000000043	ORF	Dubious	YAL045C			chromosome 1		1	57796	57488	C		2/3/2011	7/31/1996	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"
S000000042	ORF	Verified	YAL044C	GCV3	glycine decarboxylase subunit H	chromosome 1	L000003501	1	58462	57950	C		2/3/2011	2003-09-22|1996-07-31|2008-03-05	"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"
S000000041	ORF	Verified	YAL043C	PTA1	RNA-processing protein PTA1|FUN39	chromosome 1	L000001522	1	61052	58695	C		2/3/2011	7/31/1996	"Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"
S000000040	ORF	Verified	YAL042W	ERV46	FUN9	chromosome 1	L000000633	1	61316	62563	W		2/3/2011	7/31/1996	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport
S000002138	ORF	Dubious	YAL042C-A		YAL043C-A	chromosome 1		1	61608	61231	C		2/3/2011	7/31/1996	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene"
S000000039	ORF	Verified	YAL041W	CDC24	Rho family guanine nucleotide exchange factor CDC24|CLS4	chromosome 1	L000000262	1	62840	65404	W	-56	2/3/2011	7/31/1996	"Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"
S000000038	ORF	Verified	YAL040C	CLN3	cyclin CLN3|WHI1|FUN10|DAF1	chromosome 1	L000000359	1	67520	65778	C	-56	2/3/2011	7/31/1996	"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"
S000000037	ORF	Verified	YAL039C	CYC3	holocytochrome c synthase CYC3|CCHL	chromosome 1	L000000450	1	69525	68716	C	-47	2/3/2011	7/31/1996	"Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant"
S000000036	ORF	Verified	YAL038W	CDC19	pyruvate kinase CDC19|PYK1	chromosome 1	L000000258	1	71786	73288	W	-45	2/3/2011	7/31/1996	"Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"
S000028592	ORF	Dubious	YAL037C-B			chromosome 1		1	73300	72326	C		2/3/2011	7/29/2003	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
S000028732	ORF	Uncharacterized	YAL037C-A			chromosome 1		1	73518	73426	C		2/3/2011	7/29/2003	Putative protein of unknown function
S000000035	ORF	Uncharacterized	YAL037W			chromosome 1		1	74020	74823	W		2/3/2011	7/31/1996	"Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication"
S000000034	ORF	Verified	YAL036C	RBG1	GTP-binding protein RBG1|FUN11	chromosome 1	L000000634	1	76152	75043	C		2/3/2011	7/31/1996	"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"
S000000033	ORF	Verified	YAL035W	FUN12	translation initiation factor eIF5B|eIF5B|yIF2	chromosome 1	L000000635	1	76427	79435	W		2/3/2011	7/31/1996	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
S000000032	ORF	Verified	YAL034W-A	MTW1	MIND complex subunit MTW1|NSL2|DSN3	chromosome 1	S000007418	1	79718	80587	W		2/3/2011	7/31/1996	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)
S000002137	ORF	Dubious	YAL034C-B		YAL035C-A	chromosome 1		1	79842	79489	C		2/3/2011	7/31/1996	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000002134	ORF	Verified	YAL034C	FUN19		chromosome 1	L000000637	1	81951	80710	C		2/3/2011	2003-09-22|1996-07-31	"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication"
S000000031	ORF	Verified	YAL033W	POP5	RNA-binding protein POP5|FUN53	chromosome 1	L000004301|L000000649	1	82706	83227	W		2/3/2011	7/31/1996	"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"
S000000030	ORF	Verified	YAL032C	PRP45	mRNA splicing protein PRP45|FUN20	chromosome 1	L000000638	1	84474	83335	C		2/3/2011	7/31/1996	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
S000028731	ORF	Dubious	YAL031W-A			chromosome 1		1	84669	84977	W		2/3/2011	7/29/2003	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C"
S000000029	ORF	Verified	YAL031C	GIP4	protein phosphatase regulator GIP4|FUN21	chromosome 1	L000000639	1	87031	84749	C		2/3/2011	7/31/1996	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
S000000028	ORF	Verified	YAL030W	SNC1	SNAP receptor SNC1	chromosome 1	L000001942	1	87286	87752	W		2/3/2011	7/31/1996	"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication"
S000000027	ORF	Verified	YAL029C	MYO4	myosin 4|SHE1|FUN22	chromosome 1	L000000640|L000001224	1	92270	87855	C		2/3/2011	7/31/1996	"Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication"
S000000026	ORF	Verified	YAL028W	FRT2	HPH2	chromosome 1		1	92900	94486	W		2/3/2011	7/31/1996	"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication"
S000000025	ORF	Verified	YAL027W	SAW1	DNA-binding protein SAW1	chromosome 1		1	94687	95472	W		2/3/2011	7/31/1996	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
S000028730	ORF	Dubious	YAL026C-A			chromosome 1		1	95823	95386	C		2/3/2011	7/29/2003	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2"
S000000024	ORF	Verified	YAL026C	DRS2	aminophospholipid-translocating P4-type ATPase DRS2|SWA3|FUN38	chromosome 1	L000000526	1	99697	95630	C		2/3/2011	1996-07-31|2011-02-03	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"
S000000023	ORF	Verified	YAL025C	MAK16	ribosome biosynthesis protein MAK16	chromosome 1	L000000989	1	101145	100225	C	-31	2/3/2011	1996-07-31|2011-02-03	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
S000000022	ORF	Verified	YAL024C	LTE1	mitotic regulator LTE1|MSI2	chromosome 1	L000000955	1	105872	101565	C	-31	2/3/2011	7/31/1996	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
S000000021	ORF	Verified	YAL023C	PMT2	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25	chromosome 1	L000000642|L000001459	1	108551	106272	C		2/3/2011	2002-12-17|1996-07-31	"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication"
S000000020	ORF	Verified	YAL022C	FUN26	nucleoside transmembrane transporter FUN26	chromosome 1	L000000643	1	110430	108877	C		2/3/2011	7/31/1996	"High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member"
S000000019	ORF	Verified	YAL021C	CCR4	CCR4-NOT core exoribonuclease subunit CCR4|NUT21|FUN27	chromosome 1	L000000239	1	113359	110846	C	-25	2/3/2011	7/31/1996	"Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"
S000028729	ORF	Dubious	YAL019W-A			chromosome 1		1	114250	114819	W		2/3/2011	7/29/2003	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C"
S000000018	ORF	Verified	YAL020C	ATS1	KTI13|FUN28	chromosome 1	L000000644|L000000154	1	114615	113614	C		2/3/2011	1996-07-31|2011-02-03	"Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p"
S000000017	ORF	Verified	YAL019W	FUN30	DNA-dependent ATPase FUN30	chromosome 1	L000000645	1	114919	118314	W		2/3/2011	7/31/1996	"Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
S000000016	ORF	Verified	YAL018C	LDS1		chromosome 1		1	119541	118564	C		2/3/2011	7/31/1996	"Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants"
S000000015	ORF	Verified	YAL017W	PSK1	serine/threonine protein kinase PSK1|FUN31	chromosome 1	L000000646	1	120225	124295	W		2/3/2011	1996-07-31|2011-02-03	"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication"
S000028528	ORF	Dubious	YAL016C-B			chromosome 1		1	124492	124307	C		2/3/2011	7/29/2003	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000000014	ORF	Verified	YAL016W	TPD3	protein phosphatase 2A structural subunit TPD3|FUN32	chromosome 1	L000002325	1	124879	126786	W	0.5	2/3/2011	7/31/1996	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
S000028728	ORF	Dubious	YAL016C-A			chromosome 1		1	125069	124755	C		2/3/2011	7/29/2003	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W"
S000000013	ORF	Verified	YAL015C	NTG1	bifunctional N-glycosylase/AP lyase NTG1|ogg2|SCR1|FUN33	chromosome 1	L000004114	1	128102	126903	C		2/3/2011	7/31/1996	"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication"
S000000012	ORF	Verified	YAL014C	SYN8	syntaxin|SLT2|UIP2	chromosome 1		1	129019	128252	C		2/3/2011	2002-12-17|1996-07-31	Endosomal SNARE related to mammalian syntaxin 8
S000000011	ORF	Verified	YAL013W	DEP1	Rpd3L histone deacetylase complex subunit DEP1|FUN54	chromosome 1	L000000502	1	129270	130487	W	12	2/3/2011	2003-12-15|1996-07-31|2011-02-03	"Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"
S000000010	ORF	Verified	YAL012W	CYS3	cystathionine gamma-lyase CYS3|STR1|FUN35|CYI1	chromosome 1	L000000470	1	130799	131983	W	-16	2/3/2011	7/31/1996	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
S000000009	ORF	Verified	YAL011W	SWC3	SWC1	chromosome 1		1	132199	134076	W		2/3/2011	2003-09-22|1996-07-31	"Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"
S000000008	ORF	Verified	YAL010C	MDM10	FUN37	chromosome 1	L000000648|L000001053	1	135665	134184	C		2/3/2011	1996-07-31|2011-02-03	"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase"
S000000007	ORF	Verified	YAL009W	SPO7	Nem1-Spo7 phosphatase regulatory subunit SPO7	chromosome 1	L000002000	1	135854	136633	W	-4	2/3/2011	7/31/1996	"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"
S000000006	ORF	Verified	YAL008W	FUN14	MCP3	chromosome 1	L000000636	1	136914	137510	W		2/3/2011	7/31/1996	"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis"
S000000005	ORF	Verified	YAL007C	ERP2		chromosome 1	L000004679	1	138345	137698	C		2/3/2011	7/31/1996	"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication"
S000002136	ORF	Dubious	YAL004W			chromosome 1		1	140760	141407	W		2/3/2011	1996-07-31|2007-04-05	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C"
S000000004	ORF	Verified	YAL005C	SSA1	Hsp70 family ATPase SSA1|YG100	chromosome 1	L000002069	1	141431	139503	C	-1	2/3/2011	1996-07-31|2007-04-05	"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils"
S000000003	ORF	Verified	YAL003W	EFB1	translation elongation factor 1 subunit beta|EF-1beta|eEF1Balpha|TEF5	chromosome 1	L000000542	1	142174	143160	W		2/3/2011	1996-07-31|1999-07-17	"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants"
S000000002	ORF	Verified	YAL002W	VPS8	CORVET complex membrane-binding subunit VPS8|VPL8|VPT8|FUN15	chromosome 1	L000003013	1	143707	147531	W		2/3/2011	2004-01-14|1996-07-31	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
S000000001	ORF	Verified	YAL001C	TFC3	transcription factor TFIIIC subunit TFC3|tau 138|TSV115|FUN24	chromosome 1	L000000641|L000002287	1	151166	147594	C	-1	2/3/2011	7/31/1996	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
